avg_reflectance(%),uniformity(%),max_high_angle_R(%),delta_R_temp(%),avg_stress(MPa),layer1_thickness(nm),layer2_thickness(nm),layer3_thickness(nm),layer4_thickness(nm),layer5_thickness(nm),layer6_thickness(nm),layer7_thickness(nm)
8.0992,10.8766,10.2640,0.0003,38.4489,20.2026,24.9840,56.4989,28.8329,45.1034,59.1331,110.0744
14.9802,1.6726,15.6480,0.0026,36.3962,20.4181,36.2162,26.7395,50.6327,38.2978,62.5851,112.4768
7.2532,11.8712,10.0713,0.0007,38.8196,72.3050,41.1261,52.2119,22.9633,43.4990,56.7344,102.1474
14.1633,3.8507,15.5261,0.0009,37.6539,29.4652,20.6428,50.8499,20.7042,46.0181,62.8126,53.0860
10.8601,43.0616,1.3824,0.0124,29.1385,20.0206,90.5115,24.6271,107.8402,20.0708,127.0614,20.1862
1.7851,69.1442,4.9913,0.0075,29.5617,20.3537,76.9142,27.9611,103.3595,25.2477,139.3134,20.8687
3.1856,71.6205,11.8913,0.0097,28.8782,20.8340,138.2236,26.7643,118.4934,20.1453,136.3801,26.8181
0.6881,149.8413,4.8701,0.0032,30.7217,55.9324,33.3485,22.0667,125.4748,20.0142,135.7991,20.0488
2.1163,72.3398,0.2421,0.0066,37.6078,61.1331,26.2659,44.9238,23.7900,38.5157,62.7067,47.7497
9.5112,8.6971,11.2224,0.0007,33.9424,20.2354,103.8690,40.4869,60.2912,21.9260,67.9356,105.0504
5.3562,56.2133,3.4405,0.0126,28.7651,21.3167,139.9929,30.5627,137.5761,20.0902,119.3481,20.0804
9.7854,7.8714,11.7171,0.0008,38.5347,20.0073,26.2763,56.9554,20.2560,43.4409,62.0762,106.9605
3.0937,116.1855,15.7018,0.0099,28.9144,20.5258,138.7871,27.7337,106.4462,20.0363,139.2232,25.2595
5.7123,50.2400,2.0616,0.0152,28.7970,20.1032,139.9807,27.7034,138.7438,20.0005,117.8772,25.1333
1.3633,9.5037,1.5749,0.0019,39.2345,53.7220,30.1455,49.9837,23.2266,47.8686,58.4407,124.4796
3.1878,70.4335,11.3429,0.0104,28.7425,20.8340,138.2860,26.7659,118.4964,20.5722,138.4837,22.8189
2.3428,73.5566,0.9362,0.0085,29.8587,55.2885,111.7870,23.0225,128.7892,20.0344,138.1941,23.1982
18.3153,1.8034,19.5579,0.0018,35.7805,28.5292,40.5370,30.3178,22.0757,45.1146,62.8324,42.7244
12.4847,2.6593,12.5834,0.0023,38.0588,20.0438,24.9840,50.3200,28.9074,45.0493,62.8448,104.2073
4.5497,16.0476,5.0545,0.0059,28.3834,20.0151,139.9802,24.9361,137.5089,20.0000,139.9762,20.0517
3.3405,58.1867,8.3390,0.0115,28.7643,20.0360,139.9807,27.8846,120.1750,20.0002,139.6276,24.7708
2.7153,6.6741,3.0307,0.0026,39.3771,55.7332,29.5911,56.3941,23.2266,47.8686,58.4407,124.4796
