r_mm,theta_deg,reflectance(%),thickness_bias,temperature(°C)
0.0,0.0,1.0591893708732365,1.0,40.0
5.25,2.0057619349098257,1.1358653083519938,1.0212626340307824,40.0
10.5,4.013987218056314,1.2022896958698006,1.0447874549231126,40.0
15.75,6.027166560131101,1.2636510676754373,1.0708352786960176,40.0
21.0,8.047846247311517,1.5697729923968438,1.099719887642531,40.0
26.250000000000004,10.078658107787666,1.522933138557301,1.1,40.0
31.5,12.122352244789113,1.467462459241516,1.1,40.0
36.75000000000001,14.181833728563449,1.4139024163375262,1.1,40.0
42.0,16.26020470831196,1.3671419707312271,1.1,40.0
47.25,18.36081379392586,1.3316990720951116,1.1,40.0
52.50000000000001,20.487315114722666,1.3110723281619128,1.1,40.0
57.75,22.643740262885103,1.3070294363854331,1.1,40.0
63.0,24.834587489701583,1.318962005369543,1.1,40.0
68.25,27.064934228833383,1.3435097276827108,1.1,40.0
73.50000000000001,29.34058157502374,1.3747241201806077,1.1,40.0
78.75,31.668243253541647,1.4050840003949805,1.1,40.0
84.0,34.055797742567904,1.427675615220178,1.1,40.0
91.0,37.348869556781324,1.4423174039638262,1.1,40.0
98.0,40.79339494820318,1.4627966336230167,1.1,40.0
105.0,44.4270040008057,1.5768380861316003,1.1,40.0
